"id","name","type","latitude","longitude"
"1269901516",NULL,"unspecified","40.14205050028638","-82.6950396"
"1482069746",NULL,"unspecified","44.05704930053066","-92.51439249999999"
"1614986995",NULL,"unspecified","44.50659050050779","-92.91742039999998"
"1691530694",NULL,"unspecified","44.91309600047632","-93.412032"
"1709353580",NULL,"unspecified","45.82751110036841","-97.7291466"
"1882686857",NULL,"unspecified","41.8734742004765","-88.11568469999999"
"1941606761",NULL,"unspecified","41.66373270045888","-86.1531958"
"2507504947",NULL,"unspecified","42.50133330051767","-96.31171909999999"
"4301288558",NULL,"unspecified","42.45975260051553","-96.33018769999998"
"9662219",NULL,"unspecified","47.34292317515618","-102.33412731208794"
"9846871","Pickstown Substation","distribution","43.071676126709534","-98.53437643336964"
"9847040","Tyndall Substation","transmission","43.003481478440044","-97.89040179763994"
"9848985",NULL,"transmission","42.90218595574639","-96.88589717320386"
"9861863",NULL,"distribution","45.00171630085241","-102.0432228500001"
"9866126","Rushville Substation","distribution","42.72255235011723","-102.4650374959187"
"9870300","Arlington Substation","unspecified","44.49969913845348","-97.01710973418389"
"9906380",NULL,"switching","44.22822980598345","-103.19442404200875"
"9906807",NULL,"distribution","44.155314876466285","-103.08792184305571"
"9906968","Wall Substation","distribution","44.08279074153484","-102.22744817506192"
"9906969",NULL,"distribution","44.22839104508336","-103.23064539798185"
"9908477","Midland Substation","distribution","44.08237697244863","-101.13467390605562"
"9909055",NULL,"distribution","44.023229520613945","-103.07012494747842"
"9919316",NULL,"transmission","44.90757982821425","-98.32842644815084"
"11775318",NULL,"unspecified","44.291800544986344","-96.68943779916809"
"11775323","Aurora Substation","unspecified","44.29601002445755","-96.65714199805575"
"13033986","Rouse Substation","minor_distribution","37.440631403036825","-94.68466397106177"
"13237900",NULL,"unspecified","38.48131602435016","-100.92607427415344"
"14043777","Harmony Substation","distribution","42.953945850466276","-100.51526077709464"
"14056902",NULL,"unspecified","42.285968862595944","-96.68627414303828"
"14067130",NULL,"unspecified","40.77637840664217","-99.7383657745167"
"14069716",NULL,"unspecified","41.00166072558199","-102.2689791402744"
"14073872",NULL,"unspecified","41.46510886165786","-96.50690975642316"
"14080092",NULL,"unspecified","40.36027200045203","-102.05088169999848"
"14091931",NULL,"unspecified","40.322493551298265","-100.14289610000733"
"14103078",NULL,"unspecified","40.409632203145236","-100.02737368418619"
"14108444",NULL,"distribution","41.29825495233059","-97.65472674786186"
"14122756",NULL,"unspecified","40.95992325583919","-98.35351762488777"
"14126597",NULL,"unspecified","40.48188527560739","-99.07789201573335"
"14192590",NULL,"unspecified","40.22156954382705","-100.65084692608579"
"14195243",NULL,"unspecified","40.560660628413686","-97.61547727561513"
"14197241",NULL,"distribution","41.226194378062196","-96.60183465381442"
"14204831",NULL,"unspecified","41.81763795052494","-103.66478315000505"
"15982511","Sibley Substation","distribution","43.39659441798725","-95.75009684886629"
"18021726","Cromwell Substation","transmission","46.58834955077232","-92.88761000000237"
"18107233",NULL,"distribution","47.05888088750448","-92.74435431943854"
"18137932",NULL,"unspecified","47.024931086014156","-91.70384704665186"
"18144178",NULL,"unspecified","47.325512251099774","-95.99816735306311"
"18230437",NULL,"unspecified","47.407662004264125","-93.05267002387068"
"18235773",NULL,"industrial","46.93906895454953","-92.93909595109982"
"23548405","Avondale Substation","distribution","39.151157227862306","-94.54925114589628"
"24000744","Bunker Lake Substation","transmission","45.22087226951062","-93.30696090352453"
"24001224","Coon Creek Substation","transmission","45.13732888319407","-93.28461407839177"
"24002786",NULL,"unspecified","45.09474401820405","-93.2446327727448"
"24038625",NULL,"transmission","45.14151330012074","-93.3150024333971"
"24592259","Concordia Substation","transmission","39.57445699556817","-97.69440273006803"
"24885939","ComEd Devon 138kV Substation","distribution","41.999366363827605","-87.7390879872267"
"24886001",NULL,"unspecified","42.02491464497767","-87.74717981940594"
"24886129",NULL,"distribution","42.01960584102038","-87.74563040628638"
"24886742","ComEd Skokie 345kV Substation","transmission","42.05030999030378","-87.75650314645948"
"24886758","ComEd Skokie 138kV Substation","transmission","42.050157322728396","-87.75472575005283"
"24887190","ComEd Elmwood Substation","transmission","42.08188496346973","-87.76514629266335"
"24887199",NULL,"unspecified","42.08065957080071","-87.7651030489207"
"24887581","ComEd Golf Mill 138kV-345kV Substation","transmission","42.05593935939907","-87.83271105672162"
"24888067","ComEd Niles 138kV Substation","distribution","42.02190712456246","-87.77597749839221"
"24888435","DC S32","unspecified","42.022270050507096","-87.73227829999851"
"24888554","ComEd Skokie Substation","distribution","42.02349873753226","-87.71377460330949"
"25037288",NULL,"distribution","39.33687815770354","-84.2721114093104"
"25080836","Range Line SW","distribution","43.13172131353503","-87.9461594018243"
"25080859","Sidney Term","transition","43.124853446231405","-87.9444719567637"
"25080903","Cornell-Milwaukee","distribution","43.09861371374915","-87.93621008660377"
"25080923","FireBsntz","distribution","43.09200903478804","-87.93643859558105"
"25353126","Glendale","unspecified","43.1175588061171","-87.9200870669042"
"26196644","ComEd Tonne 138kV Substation","transmission","41.99607620121154","-87.97763498643582"
"26196884","ComEd Busse 138kV Substation","distribution","42.0376012462231","-87.96215480257142"
"26206319",NULL,"transmission","41.244749009044114","-88.2253788959904"
"26320534","ComEd Des Plaines 138kV-345kV Substation","transmission","42.0505405574047","-87.8969088598063"
"27051487","Sioux City Substation","transmission","42.60298513267828","-96.30626481817244"
"27051494",NULL,"transmission","42.60031625304666","-96.30505091122892"
"27052403","Raun Substation","transmission","42.3293664739049","-96.36550817875354"
"27667833","Port Union Substation","transmission","39.327526414446275","-84.44937740195462"
"27668010",NULL,"transmission","39.2439070456841","-84.43728240638363"
"27668230",NULL,"distribution","39.27530058224989","-84.32574125719744"
"27927002","Foster Substation","transmission","39.306017545821284","-84.2494414360336"
"27927618",NULL,"unspecified","39.271598894335405","-84.27450516698813"
"28040915",NULL,"transmission","39.22767759452867","-84.31997846743023"
"28041786","Greene Substation","transmission","39.70862420078564","-84.00154349068688"
"28042414","Stuart Substation","transmission","38.63942968358353","-83.69248222110738"
"28063464","Timberlane Substation","distribution","38.898520483701354","-94.80751883622467"
"28066916",NULL,"unspecified","39.25125088812371","-84.29797195381283"
"28084754","Northwest Substation","transmission","41.94511920126545","-87.69701919006077"
"28161833",NULL,"transmission","39.2049480016863","-84.4777695557026"
"28257545",NULL,"unspecified","41.97982576600161","-87.89665116288953"
"28257696",NULL,"unspecified","41.97597520997229","-87.88341827575599"
"28269279","Rocky Run Substation","transmission","44.50007872231001","-89.6052731710204"
"28269984","Whiting Ave","transmission","44.49607000829735","-89.57218682643726"
"28358003",NULL,"transmission","39.15285934598612","-84.40517158334035"
"28358147","Newtown Substation","distribution","39.11791437724908","-84.36648329325007"
"28396412",NULL,"distribution","39.180968641372466","-84.2695981634752"
"28396953","Pierce Substation","transmission","38.99041910399148","-84.29076675623003"
"28398376","Lick Substation","transmission","39.04372840554835","-82.60918109681657"
"28520698",NULL,"unspecified","41.94648910850966","-87.69552318632311"
"28520759","ComEd Evanston 138kV Substation","distribution","42.05113082488655","-87.69593405099656"
"28520830","ComEd Happ Substation","unspecified","42.087366469676255","-87.7667621536437"
"28520867","ComEd Northbrook 138kV-345kV Substation","transmission","42.12673705341753","-87.78568962780392"
